SNO,HTEAM,ATEAM,PLACE,SUBIN,SUBOUT,MINUTE,LIVSCOBF,OPPSCOBF,LIVSCOAF,OPPSCOAF,YC,RC,GS,A,OG,MATCH,SUBINPOS,SUBOUTPOS
55,LIVERPOOL,ARSENAL,A,Wijnaldum,Mane,80,3,3,3,3,0,0,0,0,0,MATCH19,Midfielder,Attacker
56,LIVERPOOL,ARSENAL,A,Oxlade Chamberlain,Coutinho,84,3,3,3,3,0,0,0,0,0,MATCH19,Midfielder,Midfielder
57,LIVERPOOL,SWANSEA,H,Solanke,Firmino ,68,4,0,5,0,0,0,0,0,0,MATCH20,Attacker,Attacker
58,LIVERPOOL,SWANSEA,H,Lallana,Salah,69,4,0,5,0,0,0,0,0,0,MATCH20,Midfielder,Attacker
59,LIVERPOOL,SWANSEA,H,Milner,Robertson,75,4,0,5,0,0,0,0,0,0,MATCH20,Midfielder,Defender
60,LIVERPOOL,LEICESTER,H,Oxlade Chamberlain,Mane,72,1,1,2,1,0,0,0,0,0,MATCH21,Midfielder,Attacker
61,LIVERPOOL,LEICESTER,H,Wijnaldum,Salah,83,2,1,2,1,0,0,0,0,0,MATCH21,Midfielder,Attacker
62,LIVERPOOL,LEICESTER,H,Klavan,Coutinho,89,2,1,2,1,0,0,0,0,0,MATCH21,Defender,Midfielder
63,LIVERPOOL,BURNLEY,A,Firmino,Mane,72,1,0,2,1,0,0,0,0,0,MATCH22,Attacker,Attacker
64,LIVERPOOL,BURNLEY,A,Milner,Lallana,86,1,0,2,1,0,0,0,0,0,MATCH22,Midfielder,Midfielder
65,LIVERPOOL,BURNLEY,A,Matip,Oxlade Chamberlain,96,2,1,2,1,0,0,0,0,0,MATCH22,Defender,Midfielder
66,LIVERPOOL,MANCHESTER CITY ,H,Milner,Can,79,4,1,4,3,1,0,0,0,0,MATCH23,Midfielder,Midfielder
67,LIVERPOOL,MANCHESTER CITY ,H,Lallana,Salah,88,4,2,4,3,0,0,0,0,0,MATCH23,Midfielder,Attacker
68,LIVERPOOL,MANCHESTER CITY ,H,Klavan,Mane,94,4,3,4,3,0,0,0,0,0,MATCH23,Defender,Attacker
69,LIVERPOOL,SWANSEA,A,Lallana,Oxlade Chamberlain,68,0,1,0,1,0,0,0,0,0,MATCH24,Midfielder,Midfielder
70,LIVERPOOL,SWANSEA,A,Ings,Wijnaldum,73,0,1,0,1,0,0,0,0,0,MATCH24,Attacker,Midfielder
71,LIVERPOOL,HUDDERSFIELD,A,Wijnaldum,Henderson,83,3,0,3,0,0,0,0,0,0,MATCH25,Midfielder,Midfielder
72,LIVERPOOL,HUDDERSFIELD,A,Oxlade Chamberlain,Salah,83,3,0,3,0,0,0,0,0,0,MATCH25,Midfielder,Attacker
73,LIVERPOOL,HUDDERSFIELD,A,Solanke,Firmino ,89,3,0,3,0,0,0,0,0,0,MATCH25,Attacker,Attacker
74,LIVERPOOL,TOTTENHAM,H,Oxlade Chamberlain,Mane,65,1,0,2,2,0,0,0,0,0,MATCH26,Midfielder,Attacker
75,LIVERPOOL,TOTTENHAM,H,Wijnaldum,Henderson,65,1,0,2,2,0,0,0,0,0,MATCH26,Midfielder,Midfielder
76,LIVERPOOL,TOTTENHAM,H,Matip,Milner,78,1,0,2,2,0,0,0,0,0,MATCH26,Defender,Midfielder
77,LIVERPOOL,SOUTHAMPTON,A,Milner,Oxlade Chamberlain,60,2,0,2,0,0,0,0,0,0,MATCH27,Midfielder,Midfielder
78,LIVERPOOL,SOUTHAMPTON,A,Lallana,Firmino ,79,2,0,2,0,0,0,0,0,0,MATCH27,Midfielder,Attacker
79,LIVERPOOL,SOUTHAMPTON,A,Lovern,Salah,89,2,0,2,0,0,0,0,0,0,MATCH27,Defender,Attacker
80,LIVERPOOL,WEST HAM,H,Lallana,Firmino ,82,4,1,4,1,0,0,0,0,0,MATCH28,Midfielder,Attacker
81,LIVERPOOL,WEST HAM,H,Moreno,Mane,87,4,1,4,1,0,0,0,0,0,MATCH28,Defender,Attacker
82,LIVERPOOL,WEST HAM,H,Solanke,Salah,87,4,1,4,1,0,0,0,0,0,MATCH28,Attacker,Attacker
83,LIVERPOOL,NEWCASTLE,H,Lallana,Mane,74,2,0,2,0,0,0,0,0,0,MATCH29,Midfielder,Attacker
84,LIVERPOOL,NEWCASTLE,H,Milner,Oxlade Chamberlain,79,2,0,2,0,0,0,0,0,0,MATCH29,Midfielder,Midfielder
85,LIVERPOOL,NEWCASTLE,H,Matip,Firmino ,88,2,0,2,0,0,0,0,0,0,MATCH29,Defender,Attacker
86,LIVERPOOL,MANCHESTER UNITED,A,Lallana,Oxlade Chamberlain,62,0,2,1,2,0,0,0,0,0,MATCH30,Midfielder,Midfielder
87,LIVERPOOL,MANCHESTER UNITED,A,Wijnaldum,Trent Arnold,80,1,2,1,2,0,0,0,0,0,MATCH30,Midfielder,Defender
88,LIVERPOOL,MANCHESTER UNITED,A,Solanke,Robertson,84,1,2,1,2,0,0,0,0,0,MATCH30,Attacker,Defender
89,LIVERPOOL,WATFORD,H,Milner,Can,27,1,0,5,0,0,0,0,0,0,MATCH31,Midfielder,Midfielder
90,LIVERPOOL,WATFORD,H,Oxlade Chamberlain,Wijnaldum,71,3,0,5,0,0,0,0,0,0,MATCH31,Midfielder,Midfielder
91,LIVERPOOL,WATFORD,H,Ings,Firmino ,79,4,0,5,0,0,0,0,0,0,MATCH31,Attacker,Attacker
92,LIVERPOOL,CRYSTAL PALACE,A,Oxlade Chamberlain,Mane,64,1,1,2,1,0,0,0,0,0,MATCH32,Midfielder,Attacker
93,LIVERPOOL,CRYSTAL PALACE,A,Lallana,Wijnaldum,65,1,1,2,1,0,0,0,0,0,MATCH32,Midfielder,Midfielder
94,LIVERPOOL,CRYSTAL PALACE,A,Lovern,Lallana,70,1,1,2,1,0,0,0,0,0,MATCH32,Defender,Midfielder
95,LIVERPOOL,EVERTON,A,Oxlade Chamberlain,Milner,68,0,0,0,0,0,0,0,0,0,MATCH33,Midfielder,Midfielder
96,LIVERPOOL,EVERTON,A,Firmino,Mane,74,0,0,0,0,0,0,0,0,0,MATCH33,Attacker,Attacker
97,LIVERPOOL,EVERTON,A,Trent Arnold,Ings,89,0,0,0,0,0,0,0,0,0,MATCH33,Defender,Attacker
98,LIVERPOOL,BOURNEMOUTH,H,Milner,Mane,77,2,0,3,0,0,0,0,0,0,MATCH34,Midfielder,Attacker
99,LIVERPOOL,BOURNEMOUTH,H,Klavan,Lovern,83,2,0,3,0,0,0,0,0,0,MATCH34,Defender,Defender
100,LIVERPOOL,BOURNEMOUTH,H,Solanke,Firmino ,91,3,0,3,0,0,0,0,0,0,MATCH34,Attacker,Attacker
101,LIVERPOOL,WEST BROMWICH,A,Firmino,Ings,66,1,0,2,2,0,0,0,0,0,MATCH35,Attacker,Attacker
102,LIVERPOOL,WEST BROMWICH,A,Oxlade Chamberlain,Mane,66,1,0,2,2,0,0,0,1,0,MATCH35,Midfielder,Attacker
103,LIVERPOOL,WEST BROMWICH,A,Lovern,Salah,84,2,1,2,2,0,0,0,0,0,MATCH35,Defender,Attacker
104,LIVERPOOL,STOKE CITY,H,Milner,Trent Arnold,65,0,0,0,0,0,0,0,0,0,MATCH36,Midfielder,Defender
105,LIVERPOOL,STOKE CITY,H,Clyne,Ings,65,0,0,0,0,0,0,0,0,0,MATCH36,Defender,Attacker
106,LIVERPOOL,CHELSEA,A,Henderson,Clyne,59,0,1,0,1,0,0,0,0,0,MATCH37,Midfielder,Defender
107,LIVERPOOL,CHELSEA,A,Solanke,Robertson,74,0,1,0,1,0,0,0,0,0,MATCH37,Attacker,Defender
108,LIVERPOOL,CHELSEA,A,Moreno,Milner,89,0,1,0,1,0,0,0,0,0,MATCH37,Defender,Midfielder
109,LIVERPOOL,BRIGHTON,H,Lallana,Mane,74,3,0,4,0,0,0,0,0,0,MATCH38,Midfielder,Attacker
110,LIVERPOOL,BRIGHTON,H,Woodburn,Salah,84,3,0,4,0,0,0,0,0,0,MATCH38,Attacker,Attacker
111,LIVERPOOL,BRIGHTON,H,Ings,Firmino ,84,3,0,4,0,0,0,0,0,0,MATCH38,Attacker,Attacker
